ID	n_p
4HKL_A	23
5AN7_A	32
5EU1_A	25
3EPR_A	10
1U5P_A	3
3P3D_A	0
2NQM_A	12
3STW_B	6
5DNU_A	25
5IJ1_A	6
2A6D_B	1314
1UCF_A	37
5DP1_A	7
3PN5_A	12
4WFZ_A	47
3QZN_A	7
4XUI_A	76
4YBL_A	117
4UC1_A	3
3GOU_B	159
4LLB_A	8
4CT5_A	21
4WPD_A	47
3PYE_A	7
5CUM_A	9
4F8A_A	1
5X4G_A	1423
4V1Z_A	54
4NKQ_A	3
2VBE_A	2
5EQA_A	8
4GPA_A	23
4G6L_A	54
3K4L_A	28
1IZN_A	9
5AG4_A	41
5DOE_B	3
3I8S_A	18
6ATJ_A	24
3RSD_A	126
5G6H_A	82
3K9L_A	186
5YCW_A	19
4CLO_A	50
2I32_A	16
3RH5_A	137
2XTL_B	5
1AIE_A	6
5O55_A	35
5M04_A	1
5C48_A	115
6EO6_H	171
1ARH_A	62
2ECP_A	4
2JDP_A	29
2I82_A	0
3T43_A	5
5FSB_A	1
5HYA_A	12
4UP9_A	23
6BZI_A	5
3SBD_A	57
5T0F_A	6
4PXQ_A	1
5WO7_A	13
3E94_A	49
2FKJ_A	25
3LRU_A	18
4Z2X_A	1
3KD7_A	8
3QL0_A	48
3RDU_A	102
4X4T_A	17
5UCN_A	19
4JYD_A	15
4QAS_A	3
4MB7_A	0
5AEZ_A	8
1PZ2_A	7
2HIB_X	7
3LZW_A	6
1XWF_A	49
4U7V_A	374
4NCS_A	15
1TK0_A	10
4D4Q_A	3
1WP5_A	37
1ZVZ_A	14
4Z92_C	1
3IQB_A	15
5JZK_A	270
6BTA_A	85
3TRI_A	2
3WQF_B	10
3WVF_A	2
1JMS_A	57
4LGQ_A	0
3GLW_A	13
2IHE_A	3
4DX6_A	44
2O7S_A	7
5XPL_A	79
2AE0_X	4
1B7O_A	491
3SH9_A	18
1GTZ_A	10
2NZ7_B	3
4X5E_A	45
5M82_A	4
5EAK_A	187
1ZOB_A	3
3M5U_A	2
4F0A_B	0
2J9L_C	1
1Z6O_A	0
4KIL_A	50
4DDU_A	18
2QHK_A	0
4GVC_A	6
4Q20_A	1
3L7Y_A	3
4J7G_A	1
4ZHV_A	3
2H72_A	67
3RWK_X	7
6BWQ_A	2
1K7A_A	17
3UUD_B	224
4L52_A	23
5L0O_A	1
5MPY_A	1
3MPQ_A	45
1PW3_A	21
5MC7_A	0
5XXR_A	0
1T6X_B	3
3H1O_A	110
1K0U_A	49
5FAX_A	21
3KSK_A	4
6ENQ_A	169
4RWT_A	87
5U55_A	3
3D2K_A	218
3PP4_H	1345
3B3L_A	10
3ABD_B	14
4AHZ_A	193
5KCC_B	224
4CI8_A	0
3LED_A	3
4R7K_A	0
4RJF_A	21
2GEB_A	36
2NW9_A	5
6BAH_B	1309
3CWL_A	45
1ZW3_A	14
4FUJ_A	357
3GA1_B	1
3R4R_A	0
2AO6_A	110
5JGA_A	23
3AWK_A	38
1YC5_A	31
4B9I_A	1
2D7U_A	7
5W8J_A	38
5NE3_A	103
4H2Q_A	12
1LC8_A	3
5HFA_B	121
3TKM_A	169
1NI5_A	1
1BZ9_A	568
4D3K_A	123
3TV8_B	17
5OD3_A	4
3KYX_A	13
2W92_A	1
1HIX_B	45
5UX1_C	0
5DLS_A	172
4A9E_B	195
3WG8_A	28
1YEX_A	52
2X19_A	24
2FS6_B	36
1TQJ_C	1
4G04_A	67
2HWL_B	171
4G6Q_A	0
2H9W_A	270
3GQX_A	11
5KY6_B	39
4IOY_X	2
3KVU_A	5
1YWN_A	486
1FP1_D	10
3I0C_A	115
5HWR_A	3
5IJU_A	1
5MQO_A	0
3X12_A	506
4G8R_B	18
5HGO_A	76
4FD6_A	1
4P0K_A	4
5OA2_A	6
4CS7_C	3
4KF7_A	0
5IOS_A	27
1BJZ_A	40
2O9U_X	19
2VTS_A	352
6F0C_A	2
1E6W_A	21
2YXD_A	0
2VYW_A	0
5XDQ_A	20
4FIH_A	82
195L_A	317
4W7T_A	205
4WZA_B	12
4IR8_A	0
3BLO_A	118
3SSQ_A	25
4FM9_A	14
1G17_A	102
3AQQ_A	0
2V0A_A	99
3BUX_B	25
3E2L_A	66
2WEK_A	3
3MXA_A	18
4A6R_A	18
1H1T_A	20
5EFI_A	92
4C3M_A	15
5A5Y_A	4
1H4M_X	3
3INL_A	57
4JZA_A	0
3PHW_G	10
1WCF_A	12
2QLH_B	50
1QAD_A	2
4GHP_A	17
3AEM_C	19
2WT2_A	4
1CW3_A	57
4XGT_A	6
3HCH_A	6
5E8E_H	171
5CWA_A	3
4GBJ_A	0
3T6O_A	0
1VCM_A	10
5TZL_A	174
1XAE_A	28
1TC2_B	15
5CQG_A	1
3BI6_A	19
4NMH_A	38
2HAW_B	7
3MGQ_G	67
4J0Z_A	222
5PWC_A	4
3REU_B	4
4ZJN_A	1
2AP1_A	1
3FGH_A	4
2W98_B	7
5LJN_A	6
5XTT_A	6
2YE7_A	237
4W6L_A	270
2FYW_A	0
5X6D_A	13
4ZPK_A	11
2QAB_B	224
2AUJ_D	34
5VHG_A	2
3BPQ_B	0
1JRK_D	2
6AXP_B	1290
4KRG_A	0
5FF4_A	15
2RAR_A	4
1I8J_A	23
1Q9H_A	36
4GV5_A	0
5YHY_A	9
1YDV_A	88
3CN6_A	9
3KH2_A	3
3DRD_A	10
2IDM_A	41
2WWR_A	8
4W2R_A	8
1EXZ_B	1
4K0E_A	2
4KK4_A	5
4KVX_A	4
1L1O_C	0
1P0K_A	1
2AA7_A	111
5LA1_A	2
3SU4_A	69
5WFT_A	0
4LJP_A	3
3H4G_A	99
3OWP_A	316
4ZMO_A	12
1VRL_A	9
5NR1_A	0
1MZ4_A	1
5AUJ_A	7
4KAA_A	58
3TTX_A	51
1MO0_A	89
3DC6_C	73
1ESQ_C	28
3V8U_A	9
2F37_B	13
2A8L_A	2
5XX1_B	2
6EWX_B	2
3GVH_A	38
1RV6_W	1
3M7A_A	0
1JS2_A	7
3E99_A	0
5WXS_U	357
2DOB_A	2
4YUZ_B	20
1FMI_A	7
4CO4_B	13
1PK6_A	2
2OMT_A	12
5DYL_A	122
3U0K_A	197
4XCF_H	1356
5KJT_A	11
3BP6_B	3
4G5H_A	7
4L85_A	4
2ISM_A	7
4KRN_A	735
3QVB_A	28
1YK0_A	2
1A2O_A	0
2NLV_A	0
2A0Z_A	7
1K8F_A	0
1LUL_B	81
4XJ1_A	12
2DCK_A	27
1DC9_A	2
5SW3_A	118
1W8K_A	21
1H38_A	11
3K6A_A	9
4V3L_A	48
5P7S_A	411
3WYC_A	9
3U30_C	1445
1DTG_A	53
2EY1_A	235
4D9C_A	12
4U9G_A	3
5MMY_A	46
1CML_A	49
4NWH_A	338
5Y14_A	62
1IRQ_B	0
5OHI_A	44
3WOP_A	16
3OQC_A	2
3VAZ_P	94
4M8X_A	373
5JHK_B	14
5N3P_A	316
1WQ5_A	7
1KNU_A	169
4S0V_A	7
5CVI_B	3
3R7K_A	6
1FP5_A	18
3X1L_A	7
1HQE_A	166
2X4Y_A	9
3CMB_B	0
5CWM_A	1
5OJP_A	2
2P1R_A	0
5DGQ_A	2
5T59_A	2
2ERO_A	12
5VEM_A	7
1XGV_A	15
4XUD_A	58
5I4E_A	77
3SNS_A	0
5FKP_A	100
1PZY_D	27
2D4Y_A	0
1ETO_B	12
3CKT_A	374
2PSB_A	0
1YYE_A	225
5OZH_A	411
4CJ7_A	2
4PKM_A	1
1ZCV_A	28
3EKS_A	87
4ZFQ_A	1
1HD5_A	7
2QTL_A	24
1XZW_B	2
4BCH_A	267
2WG8_B	2
1GKL_A	18
5CE4_A	45
3OXL_A	15
2XQY_A	0
2WNO_A	0
3ULI_A	238
5NNA_D	4
4O96_A	2
2QP4_A	11
3TBD_A	0
5F6H_I	1376
2RAK_A	3
1QYF_A	270
3LER_A	49
1N5Y_A	166
5EJO_A	1
2PMR_A	2
3K7A_A	67
3SVO_B	110
4JQ2_B	167
4JEX_B	30
4IGW_B	6
3FKK_A	0
5F0V_A	37
4LAJ_A	139
5J08_A	2
1C5B_H	1330
4X9J_A	32
4JLC_A	16
5YZU_A	3
1A1Q_A	80
5H0X_A	174
2XS3_A	23
3HCX_A	38
2WYL_D	3
4BBU_A	21
1UZ3_A	2
5D2V_A	21
5DP3_A	18
1WV3_A	0
5TXC_A	1
1O77_A	2
4PZI_A	1
4XDK_D	12
5IER_A	5
2PWV_A	118
3FA0_A	247
3IGB_A	222
4EDE_A	24
1GG4_A	3
4DPT_A	14
4DQM_A	16
3F31_B	0
43CA_B	752
1EVJ_A	1
5DB4_B	9
5K71_A	8
4JOB_A	2
4R4M_C	1
3ZR8_X	0
2GHJ_A	0
5URB_A	12
5B7S_B	6
2QZK_A	222
4PNZ_A	53
5Z1D_A	45
4U8L_A	22
3HHV_A	8
3BBR_B	208
5KDE_A	10
3QUS_A	8
3WVR_C	1
5A40_A	2
1P6A_A	1
2I1X_A	78
2EX1_A	12
4CTD_A	4
4FJ2_D	22
5P5E_A	411
1A1S_A	12
2FVH_A	3
4USC_A	3
4GXN_A	3
1M7B_A	26
3W3G_A	29
1BH0_A	0
3ILM_B	2
5XD6_A	52
2QWZ_A	1
1VDR_B	0
4F24_A	6
3RNB_A	34
2V83_B	5
1BOO_A	0
4BCI_A	267
5T63_A	18
4IT5_A	0
1I2L_A	3
5A7W_A	81
4JGG_A	8
4GL9_A	133
3OO8_A	4
4OXN_A	63
3AT0_A	8
3FPN_A	2
5GKW_A	14
2EIX_A	6
4YIJ_B	234
5OT0_A	13
4JIF_A	1
5YFB_A	12
1CFN_A	163
4K96_B	28
2X03_B	6
5ESR_A	3
5COQ_A	63
4IV0_A	10
1TQL_A	47
1IFQ_B	0
2P0B_A	1
1BT8_A	13
4L1Y_A	5
1DW6_C	374
3NL5_A	5
4BI7_A	106
5F4M_A	70
1RWZ_A	2
5TJX_A	202
3UVK_A	37
5ER3_A	0
4BNV_C	84
2H8E_A	1
1J7E_B	4
1XXL_A	0
4FCJ_B	5
2WFM_A	13
3G3I_B	216
4J3S_A	5
4UBG_A	35
5CQV_A	3
5YD3_E	440
2ZWL_H	77
4JGQ_A	3
1V7N_H	1371
5GJ6_A	11
5CU5_A	35
5GOH_A	118
3QY8_A	0
2W29_A	5
4NI3_B	2
3OLH_A	4
4NFE_A	312
2CYJ_A	0
5W9G_A	50
5Y8O_B	8
6FDM_A	4
4ZKH_B	8
2CI9_A	2
1ZH8_A	0
1JG3_A	3
3POV_A	2
5H9P_A	57
3PKZ_A	5
5FUD_B	15
4O9S_A	13
3WW0_A	1
5IT4_A	7
4ONE_A	3
5FMC_A	9
4XHG_A	31
5KTG_A	281
2UYB_A	11
4RTQ_A	13
4B4Y_A	0
4LHO_A	2
2HQ9_A	0
4CP8_E	8
1B20_A	20
3LLU_A	1
4QFQ_A	11
4BPA_A	7
3VFP_A	506
3SHY_A	26
5CNL_A	0
3IGM_B	0
5U1M_A	1
1M75_A	14
4KCR_A	114
1D1Z_A	3
3HFA_1	9
6BBD_A	19
3LDW_A	70
4Q53_B	1
4RD1_A	85
5L74_A	10
4LP7_A	0
1HKV_A	3
1JT3_A	96
3SKG_A	222
4C7O_D	12
4BNP_A	27
2J7H_A	126
1UGC_A	399
5LOK_B	40
3A59_B	159
3M78_A	12
3C5Q_A	2
1KEU_A	22
3VXR_A	508
3A57_A	1
4O8B_A	5
5FT0_A	1
3HUE_A	2
4OWQ_B	45
4NLR_A	55
2P3O_A	55
1ZNB_B	8
2V25_A	0
5KYA_A	29
5K91_A	5
3WRQ_A	1
3SZU_B	10
4RM7_A	0
2OKR_D	373
4YO3_A	0
3S2J_A	6
5M8Z_A	12
5L0I_A	10
5YXW_B	4
3WI4_A	5
1N5K_A	8
1YCG_A	7
1OKH_A	2
1RZU_B	7
1MF1_A	17
4OQR_A	24
1HL9_A	16
5HIU_A	0
5OCM_A	0
3LBF_A	2
5E2U_L	166
3ZNZ_A	5
4DJG_A	0
5FQ6_B	2
5JCN_A	7
3HIL_A	1
5X8I_A	28
4XBF_A	42
3QQ8_A	31
5N0R_A	12
3C86_A	60
4HMW_B	1
4AQS_A	1
4ZK7_A	3
1V33_A	1
1YFW_A	13
3UXY_B	20
3KSD_P	93
3FII_A	16
4P15_A	9
2XRI_A	1
3N6C_A	114
4NVS_B	0
5MAZ_A	12
3R3G_B	171
4OY3_A	14
3IC7_B	0
1GHE_B	1
1PJS_B	4
4YOC_A	12
4MYZ_B	1
2BOI_A	3
5BQD_A	1
4IM2_A	15
1ME5_A	2
5TMW_A	224
4XDM_A	209
5TDA_A	7
5XOS_A	506
3ZDL_A	19
2AZP_A	13
2R7D_A	1
2RAO_B	151
5L9S_A	0
4Y1K_A	12
3AIZ_A	3
1TS5_A	11
6BVC_A	3
1OD9_A	6
1RZ3_A	0
3W5H_A	7
3US2_A	76
3DHC_A	4
4EH3_A	374
3L5Z_A	1
5IRA_A	103
3I82_A	10
5E76_A	3
1E8D_A	22
4MMN_A	1
3HKS_A	3
3N6Y_A	0
4HC9_A	4
4PVI_A	4
5T46_C	27
1W2A_X	16
5C6F_A	14
3LU1_D	7
1UIY_A	6
5KAX_A	1
1CV0_A	247
1X7F_A	0
2I5S_X	9
4XCP_A	0
2JGY_A	31
5KFU_A	51
4B1I_A	15
4JZJ_C	2
6BCS_A	8
1S16_A	7
3QS6_A	45
2A9F_A	5
5VST_A	11
2ABJ_A	25
5KRM_A	224
5NKK_E	1
2WFH_A	0
3PND_C	4
1GKZ_A	14
3D40_A	161
2PFX_A	1
1CJS_A	3
5F61_A	164
3AAQ_A	2
5XBU_A	3
2X7J_A	1
2H2I_A	36
4UD2_Q	35
5TVU_A	207
2E32_A	6
2XEQ_A	2
4HYW_A	65
5F96_G	120
3SNM_A	79
5VQU_A	165
3OL0_A	90
5G48_A	6
5WWZ_B	1
3ZXN_A	2
1UM5_H	1239
2OHW_A	0
1WC2_A	0
5AEP_A	133
4LGJ_A	3
2WQ4_A	0
3VCB_A	1
5I77_A	5
4LZL_A	3
4IQJ_A	6
5TZ7_B	1
1EBE_A	108
4EDL_A	4
3A5M_C	87
3R4L_A	18
4FID_A	43
1X8R_A	10
2DPJ_A	37
1DI9_A	374
4MH1_A	1
4EFT_A	205
5JOO_A	15
3DN3_A	247
3T48_A	1
3LU2_A	1
4K3M_B	32
2ZJ9_A	81
5P5I_A	411
3CT8_A	0
4C5F_A	2
4EDG_A	11
3L2A_A	17
3E8T_A	2
2IC5_B	79
1SKF_A	6
4JRU_A	60
3MCL_H	1329
4E9G_A	15
4M62_S	5
1U41_D	20
2HRO_A	1
3U22_A	1
4KXI_A	338
3G14_B	0
4G3I_A	47
4NWT_H	1350
5CGJ_A	29
5OTV_A	9
3CXO_A	14
2AMH_A	0
5NWA_A	8
5MJC_A	16
1WNX_B	12
4XI2_A	254
4WCA_A	16
5DFF_A	45
3CZZ_A	12
1WAU_A	8
5EEP_A	1
3HZI_A	10
1LC7_A	3
4N75_A	5
5LNQ_A	1
1W4Z_B	51
3ATL_A	294
3CYM_A	0
5I1D_H	1443
2XI2_A	150
4OFQ_A	7
2BM1_A	43
4RHE_B	5
3R2D_B	2
2OKC_B	2
5F9Z_A	24
5L6T_A	371
5B8A_H	51
3GW0_A	16
5A9A_A	0
1DFP_A	261
2VBC_A	62
1PFV_A	11
3ST8_A	16
2ZN7_A	127
3AYZ_A	40
5U1T_A	1
4QVS_A	0
5UOJ_A	374
3I6J_A	126
4Z29_A	0
4OUM_A	2
5VR6_B	4
5DDO_C	33
5I4Z_A	1
2NLH_A	11
4QYA_A	174
1ZGZ_A	17
4B8O_A	87
5T4C_A	7
5YOQ_A	67
2B6E_D	10
5AWX_A	130
3E7H_A	1
3QDO_A	9
5HJH_D	2
2Q1H_A	110
5J0R_A	137
3HLX_A	5
5MPR_A	25
1GQG_A	2
3IKA_A	459
4HE6_A	1
1E7A_A	92
6B2Q_A	2
4M6R_A	0
4O6U_A	18
3OBQ_A	10
4PWQ_A	6
3W1I_A	5
4G78_A	3
3ZQ5_A	34
4IW4_E	1
3LXA_A	18
3MSH_A	3
4MH5_A	82
2QAP_A	36
3RGZ_A	8
4X9P_A	16
3IT1_A	5
5K8D_A	3
4C2U_A	16
3VMV_A	1
4GPT_C	44
1AW5_A	7
5CDC_B	1
3SQN_A	0
2Q8V_A	1
4NX1_A	1
1JWH_A	120
2NSD_A	63
5B2H_A	6
4MZ4_A	128
3SNY_A	6
5KHW_A	512
4LVR_A	1
1LKE_A	3
1MVB_A	13
2YCS_A	220
5LTC_A	3
5SXN_A	56
3RVM_A	42
3I73_A	30
5TDF_A	9
1XML_A	9
2XXG_A	86
3QAE_A	9
3FON_A	505
1E94_E	30
2YOR_A	12
3JSA_A	2
4RZQ_A	43
4PBH_A	2
2BW1_G	3
4F3A_A	12
4KX7_A	33
2BWO_B	4
4WNJ_A	174
5KVH_A	8
3I9F_B	0
2WTK_E	1
1S5L_B	16
1RFJ_A	115
3CBO_A	27
5P0Y_A	411
2G3V_A	0
3BKK_A	17
5U9O_A	1
1GJP_A	18
5ICU_A	0
5J16_A	3
4O7Z_A	18
3ACB_A	2
5YLE_A	15
1UKR_A	4
5B2L_A	47
2FF4_A	1
6AUK_A	7
2IJA_A	2
4EKT_A	54
5Y9V_A	20
2FZ6_A	6
5O03_A	67
1E9E_A	15
3UP4_A	22
3EOR_A	42
1GQR_A	215
1SK3_A	3
4AS5_A	3
4C4J_A	59
5EN6_A	2
3DKA_A	0
1IC0_B	1
3CHX_A	6
3I9T_A	50
5OBD_A	126
1D1A_A	70
1QIA_A	137
5KUP_A	254
1RQC_A	14
5H3R_A	5
2YJH_A	12
4FC7_B	3
1Q35_A	226
4WFG_A	11
3CFR_A	76
5XJG_A	0
1RJN_B	8
3QPH_A	1
1GQ9_A	8
6C02_A	44
3N50_B	2
3HN2_A	0
5D7Z_A	3
4GUE_A	291
3C06_A	158
5OLN_B	11
5N2E_A	2
3RFV_A	3
4HES_A	0
4OKD_A	9
5IJM_A	0
5NEG_A	15
1P5Y_A	14
3KLY_C	9
4YR7_B	5
4NSD_A	1
4U2R_B	208
3PRD_A	3
3WK0_A	110
5ANI_A	352
1CU3_A	247
2P78_A	21
2AOG_A	374
4TVC_A	15
4Y67_A	47
5DZ3_A	224
5HRD_C	13
5TUV_A	2
1BDQ_A	376
3EKL_A	13
5CDD_B	1
4JO8_A	1
5H8M_A	41
5OC1_A	3
1R4F_A	15
5JQL_A	4
4RH6_A	2
1XAP_A	19
3IDU_A	0
4O9W_A	49
3OBY_A	0
5XWI_A	2
4A5L_A	16
3C5Y_E	4
3HGZ_A	36
4JWS_A	69
4Z55_A	196
3IEB_B	0
3MGA_A	4
6BND_A	15
3OSG_A	1
3C21_A	7
3K6D_A	0
4D9W_A	42
5A14_A	352
3FCF_A	28
3KBF_A	47
4ML6_C	2
1PQW_A	4
5CKA_A	43
1S94_B	1
4J4R_A	1
1SM3_H	1629
3A0G_B	152
5F53_A	15
6B8U_B	55
1YXW_A	8
4BVD_A	11
1UZA_A	5
5EJ1_A	5
3CNQ_S	36
2BO2_A	2
4QYS_A	2
5CJT_A	7
4GP3_A	7
3AO5_A	67
2DYO_A	2
5DOL_B	0
5KA0_A	127
4COD_B	72
6F4V_A	8
5N9Z_A	16
4Y49_A	7
2H3U_A	13
4LGM_A	36
3LDZ_A	0
4AHO_B	36
1SQI_B	3
5P13_A	411
5VJ4_A	0
4BEU_A	2
2EY2_A	235
4OIH_A	68
2GWG_A	0
1BVT_A	35
3EQO_A	1
2RGL_A	74
1BV9_A	416
4LID_A	0
1VYK_A	1
1IY8_A	17
4MDA_A	7
5CR6_D	9
4F0I_B	132
4W8Y_A	7
4WW2_C	92
4LRY_A	7
2OT9_A	0
3EP9_A	22
5MN8_A	35
4U8T_A	6
4YRV_A	8
5HO4_A	7
2PCK_A	81
5TYY_A	57
3FDM_A	50
5U5P_A	68
2XSS_A	2
3EYY_A	0
2QG0_A	205
4KWH_B	97
2Q8P_A	2
1PXY_B	0
4J31_B	5
4HIB_A	29
3ASH_A	6
3G3M_A	31
3OQI_A	3
3ILJ_A	29
5XWC_A	9
2OGG_A	0
4IPA_C	0
4C44_A	1
4LGU_B	15
1SX6_A	17
3NU4_A	374
1X8Z_A	2
2R6E_A	8
4U9I_L	38
4X2R_A	6
4LDG_A	2
3WLR_A	8
3TGM_B	50
1QZ5_A	87
3LB8_A	4
4TLJ_A	50
1SLG_B	141
5A83_A	19
5B4X_A	2
4F8E_A	15
1H0S_A	40
3SGR_A	6
1IDD_A	27
2GG0_A	38
2CGV_A	240
4Z2P_A	3
5DK3_B	1430
5WMF_F	3
3VBO_C	4
2R9H_A	37
2JFL_A	348
4OLU_G	120
4PS3_A	139
3KWX_A	6
1XHM_A	6
5B3T_B	1
5WSB_A	65
4B0P_A	201
5KCX_A	90
4H6P_A	4
5KP7_A	6
2WLA_A	7
2GHB_A	2
1ST9_A	10
5CBP_A	9
2I9I_A	0
2YGY_A	36
4Z9J_A	3
4NDA_A	25
5WZF_B	1
3TRC_A	0
6ETA_A	10
1OE3_A	85
1U7X_A	25
3VWB_A	2
5BQ8_A	4
1TQ3_A	22
3QOE_A	7
1QOB_A	21
3WC4_A	2
3UZP_A	56
4TTP_A	1
2VUF_A	92
1QLW_A	2
1JNB_A	2
5TE1_A	9
1ZYO_A	0
1N3Q_A	123
3GKF_A	2
102M_A	183
6FB7_A	18
4P9G_A	1
5K87_A	2
1RNJ_A	7
4XOD_A	33
2RAW_A	16
2Q7E_A	20
4Z6Q_B	29
3SW0_X	7
2J4Z_B	218
3DK7_B	425
3TZO_A	26
5DG6_B	21
1CY4_A	22
1G63_A	2
5E3L_B	12
1ZVP_D	0
1PUI_A	2
3DL8_A	17
3SS3_D	30
5VZN_A	132
4EOG_A	0
4YDZ_A	1
3VJE_A	19
1IYL_A	10
4WTA_A	128
1LZ7_A	115
3VSD_A	5
5KKS_A	52
1KUT_B	0
1XFI_A	0
2RJS_B	6
3GZB_A	1
1ZCB_A	60
1TGR_A	5
2JE5_A	16
5KP2_B	21
3CUK_A	27
5KA6_B	66
3OJE_A	57
2ZKD_A	14
3QCX_A	199
3FHZ_B	8
3B1Y_A	24
3VPO_A	9
4GWI_A	5
5WG6_A	8
4TRH_A	3
5VT1_A	25
3GQB_A	32
3GZN_C	4
1F0I_A	2
3LSP_A	2
1NMY_A	15
5ORE_A	10
3S7G_A	126
3OHP_A	7
5ING_A	14
3D02_A	0
2P2S_A	0
2WJ3_A	4
6B5D_A	32
3HN4_A	12
2V9P_A	1
3G6J_B	15
2DBY_A	10
4MR4_A	164
1OE0_A	12
4TME_C	16
4FK5_A	9
3I3C_A	4
3P3V_B	0
2YOF_B	26
5D13_C	22
6B8S_A	1
1IHM_B	49
5KK8_A	36
4EJ0_A	3
1LPG_B	102
4GKU_A	103
3NKO_A	44
1QUQ_A	4
5G0I_A	48
3W0M_A	6
4RD5_A	2
1NMM_B	27
5FNT_A	37
3X3T_A	54
2V68_B	45
4GVZ_A	34
2ILY_A	47
5V4V_A	22
4TQS_B	47
5K6A_A	23
3BUU_A	0
2YHA_A	22
3M22_A	110
5W2C_A	16
1QJF_A	16
3HJA_A	94
2YII_B	11
3HTV_A	0
1ZEB_A	7
5LU8_A	11
3O56_A	73
4PLN_A	3
1Z1H_A	373
5TWQ_A	57
5R1R_A	22
1UOB_A	16
4WNC_A	92
1TG7_A	9
3E32_B	37
5TCH_H	52
4KH3_A	0
4DIF_A	7
4WH2_A	5
5ETJ_A	62
2V63_A	45
1XVQ_A	3
3LIF_A	0
4E5H_D	50
3TFO_A	9
3DHJ_A	43
3TJC_B	133
1A80_A	13
4PHX_A	1
4FKJ_A	238
3CL5_A	5
2Y1W_A	37
5DT9_A	1
2CNG_A	173
1CP3_A	116
3CF2_A	58
2XD1_A	16
3SOS_A	85
6BX5_A	7
4BCK_A	352
3WQ8_A	9
4E44_A	7
3ITP_A	235
5GZZ_A	7
1VKO_A	6
3KPH_A	3
5TZU_H	1381
3SPY_A	76
3NOZ_X	103
4QSP_A	16
1MTO_A	19
1CB6_A	103
4V4G_BD	52
1WVV_B	12
2IIU_C	1
1PV4_A	5
4IYL_A	2
5CHB_C	15
4GFK_A	9
4ES3_A	7
4X7P_A	4
1WBF_A	43
3L86_A	0
4R0V_A	19
3L38_A	222
4F6H_A	62
4EBK_A	1
5EDJ_A	1
3VHJ_A	0
1WU8_A	0
2WSY_B	71
3TK9_A	152
1ICQ_A	32
3EI8_A	8
4HG7_A	67
5H1Z_A	6
3KDE_C	0
5IC4_A	115
6ANI_H	1312
4EB5_A	7
4AMV_A	16
4EHZ_A	512
3K1H_A	1
5C2U_B	732
5E3U_A	15
1F66_G	65
1UP2_A	3
1LBQ_A	21
3GA3_A	14
1C2J_A	400
4MBF_A	108
5I8A_A	129
2R79_A	0
3VKF_A	39
5WCG_A	12
1ZX1_B	35
3AY7_A	10
4MHB_A	88
3ZQO_A	4
5K78_B	8
2INQ_A	49
5A2H_A	128
5N52_A	90
3V20_A	2
4JWX_A	12
1W7W_A	82
2C5V_A	352
3RX9_A	0
5EXG_A	4
1DI0_A	3
5UQU_A	12
1N42_A	28
4WJO_A	2
3WOB_A	1
5OBZ_A	2
5F44_A	8
4N0X_B	371
5HXQ_C	7
3N4G_A	2
2OTE_A	106
4OSD_A	7
1DI1_A	17
3HI6_H	1401
3ZZH_C	8
5DNV_A	25
3BJX_A	181
4DXP_A	117
5KOM_B	7
5BP7_A	1
2QIQ_A	73
5W36_B	3
5WSV_C	116
2P10_A	3
2DG9_A	24
3MMH_A	0
2C1P_A	179
1T5I_A	3
4KQS_A	77
5YFI_H	1364
2QFV_A	47
5VD4_A	19
3KTH_B	39
1R2D_A	50
