condition	w_0_bin	w_1_bin	w_10_cont	w_11_cont	w_20_cont	w_21_cont
calcium chloride (m)	2.7572819289065214	4.406320243748046	-1.0599141017427431	-4.675245418644881		
caps (m)	-0.8496009708143614	3.670819999226239	-1.0620948928775487	-2.450866776052069		
ches (m)	2.1727194471198548	4.157851229216518	-1.0790952830116367	-2.7693904657996		
citrate (m)	1.8361174627306918	4.006302899117901	-1.1821802589796995	-3.7975508297069376		
citric acid (m)	1.6588173462660043	3.9365538373775295	-1.1748220696555485	-3.5686639728929497		
cobalt chloride (m)	-0.10131133458802408	3.333970144205684	-0.984332101688874	-2.09838696668572		
dimethyl sulfoxide (%)	-0.863116483404897	3.3816482727019737	-0.9738560266146123	-2.6691720994545025		
dioxane (%)	2.4836238661072696	4.170647118458517	-1.074195967511427	-2.937628973291324		
dithiothreitol (m)	2.2094037987817763	4.283033892771123	-0.3822415339339043	-0.9788908864957223		
ethanol (%)	2.5382286568129313	4.288357861279058	-0.9733852595899712	-2.3494171170114764		
ethylene glycol (%)	2.7659709808209376	4.415275412089106	-1.1207534789269602	-4.522641957355616		
ethylenediaminetetraacetic acid (m)	2.292324240636672	4.1647718468989625	-0.7690323431488834	-1.6828705727898035		
glycerol (%)	3.247393716623291	4.556909398870046	-0.9331027858856212	-4.668222907692963		
glycine (m)	0.5011615419035863	3.8755154278674118	-0.9934470685004523	-2.2827504696978838		
hepes (m)	3.0178637936248864	4.634024506828121	-1.0299426096742996	-4.71345049492878		
hexanediol (m)	0.17279731968948975	3.9184296861698735	-0.9922633705210282	-2.073458888837127		
imidazole (m)	2.378714151412703	4.30490611268227	-1.2529869578803192	-5.295359568443246		
inhibitor (m)	-1.7437900530760913	3.282913648670003	-0.9363668272197172	-1.9596335629502906		
isopropanol (%)	2.67404806838182	4.380929740147539	-1.1098396026636907	-4.7041257676398365		
jeffamine ed-2001 (%)	-0.9242353642785678	2.1818569215287513	-1.0229348139909553	-2.2355474788314553		
jeffamine m600 (%)	1.4655837495007462	4.009109166791519	-1.0012958764142257	-2.101654196457868		
lithium chloride (m)	1.9952461259010337	4.125012498528692	-1.0879546126034465	-3.2428655982750296		
lithium sulfate (m)	2.7019050066594135	4.604300415752069	-1.1871828520176935	-6.020733221077804		
magnesium acetate (m)	2.4787729650015184	4.377474323077202	-1.202237486997852	-4.450188582014016		
magnesium chloride (m)	3.25400991446997	4.649764458783823	-1.0189977674258162	-5.440047170101837		
magnesium formate (m)	2.031651032664412	4.230897281373589	-0.9972332371990096	-2.328111304341361		
magnesium nitrate (m)	-1.899874860670644	2.410031190619411	-1.0672936722870965	-2.517619003933162		
magnesium sulfate (m)	1.7722283025883623	3.8892439385352344	-0.8983230089465696	-2.1437946810836546		
malic acid (m)	1.9558133341589945	4.104231549511316	-1.009309372875529	-2.182839411091845		
manganese chloride (m)	-0.96583725296884	3.1924550873753743	-0.8426641224527107	-1.8871730511237281		
mes (m)	2.679800912870193	4.534760544220031	-1.0068355101022384	-4.596428535632245		
mes imidazole (m)	1.997591921206984	4.140094431286019	-0.9631842190351169	-1.9343784669334176		
mib (m)	-1.1662679442484463	2.605690497304422	-0.9899932484811333	-2.0302190475142354		
mmt (m)	-0.8210578259455278	3.087225910061729	-1.0179960114146676	-2.1994285073431046		
mops (m)	0.5965348305850655	3.7662698248194753	-1.180881717784628	-3.452597137429155		
mpd (%)	2.986163003640278	4.552993054091051	-0.9859231546601243	-4.340365629205502		
nad (m)	-2.2228879435615916	2.4142940730428233	-0.9637540414462905	-1.9787850104469096		
nickel chloride (m)	1.0482618507138635	3.9662903174685513	-0.9536712837418723	-1.9737752046578896		
phosphate (m)	-1.4840304247998846	2.0854513541712394	-0.9409866304791171	-1.986416353560085		
phosphate citrate (m)	0.8338118705604922	4.061244034249061	-1.0353884152441661	-2.512160548550785		
pipes (m)	0.4002104563378853	3.393413191326175	-1.1183453854674776	-2.8697969578177314		
potassium acetate (m)	1.7552925925585814	3.5571061614177824	-0.9852209531258913	-2.022237657701731		
potassium bromide (m)	2.9013283930892864	4.220980269472425	-1.0481072847651105	-2.3914319132328963		
potassium chloride (m)	0.9970538823545765	3.4627951558862016	-0.9936821985590847	-3.176495879836052		
potassium formate (m)	1.515873011248761	3.9264399138336454	-0.9970119863094901	-2.0885892978533644		
potassium iodide (m)	1.8301591123099985	4.2115951451710885	-1.0040040899466425	-2.07797936971477		
potassium nitrate (m)	-0.6940736103693285	3.3361764045085063	-1.036599740171989	-2.2865754501977382		
potassium phosphate (m)	1.6257765137838076	4.29333450776835	-0.890299740222427	-2.6548019046307783		
potassium thiocyanate (m)	2.719728096519224	4.55210974939823	-1.1980100237500562	-3.8152599910472107		
sodium acetate (m)	2.7043354100240045	4.55138627453511	-1.0843384337598083	-6.404931875476298		
sodium azide (%)	1.2509607563044534	3.8252009594329897	-0.912453920251429	-1.9358073535151563		
sodium bromide (m)	2.35168971409065	4.051885929933571	-0.982819916549468	-2.152149433267134		
sodium cacodylate (m)	2.502898040310231	4.393849900372553	-0.9870332853691949	-3.763645541180207		
sodium chloride (m)	2.9182783552743956	4.587845865002728	-0.5941516197051617	-2.3030905273543874		
sodium citrate (m)	3.035526569860163	4.633198556493047	-1.0228736575228177	-4.750286799209794		
sodium fluoride (m)	1.955176608185789	3.87293264720866	-0.9599998286693123	-2.094756982304027		
sodium formate (m)	2.9985467981740936	4.528753994054012	-1.1068719179401414	-3.6728637907406694		
sodium iodide (m)	1.168738593549648	3.349679582926099	-1.0181423858907186	-2.3510335949183063		
sodium malonate (m)	2.815497426547498	4.479010788869002	-1.0298386572921194	-2.8538551632728804		
sodium nitrate (m)	2.3433575155687185	4.068185724504371	-0.9431527681112011	-2.004799776970319		
sodium phosphate (m)	2.4712728212988555	4.236597244898498	-0.9326109418543104	-2.640225131374565		
sodium potassium phosphate (m)	2.153068368282772	4.2270553670019835	-1.0446501710041225	-2.843370646900614		
sodium potassium tartrate (m)	2.877205528969739	4.578638338285349	-1.0521602209148442	-3.0949446507091563		
sodium sulfate (m)	1.1847050445342753	3.552046224904309	-0.9789472914040781	-2.14613564350845		
sodium tartrate (m)	-2.226109640411125	1.9145475113905426	-0.9888809620623573	-2.073343545754013		
sodium thiocyanate (m)	0.9172302994034167	3.6253413969974964	-1.0533968410534131	-2.5897987810962704		
spermine (m)	-0.8621268732996612	3.201957653617965	-0.9911534506912619	-2.1320054211251813		
spg (m)	0.9395436050205963	3.316222256075342	-1.058072808526883	-2.410955462437428		
succinic acid (m)	-0.09433938284638906	2.865684566458731	-1.0061547742470593	-2.1709609518064203		
sucrose (%)	0.23721640820989617	3.587891629139265	-1.0131095774416559	-2.1949780678417965		
tacsimate (%)	1.570082125734871	3.613009818528162	-0.9657218708886537	-2.22498699502535		
tcep (m)	2.386950550527331	4.1364433427985885	-0.9024944440701007	-2.438918595294762		
tris (m)	3.227694111070838	4.6890251417225	-1.0196673069080788	-4.759572326798754		
tris bicine (m)	0.18198260659312454	3.6419769206336476	-1.0063136031287383	-2.1271022807936237		
zinc acetate (m)	0.6532000468059763	4.0072192097401045	-1.028987266464112	-2.678305971381554		
zinc chloride (m)	0.5662486031211981	3.713899462827878	-0.9059290745276882	-1.8711465194223553		
zinc sulfate (m)	0.2085920592522759	3.605650006691414	-0.9149767816478018	-1.8888566792927248		
mpeg (%)	1.4047214412842284	4.09778248146036	-0.9221494354230307	-1.8349570909310744	-0.9220482167544973	-1.8344169975614635
peg mme (%)	3.2057673263846063	4.570301126682988	-0.3295516557482621	-0.674514677224981	-0.33652275901849843	-0.7077854234675572
peg (%)	2.827292525990148	4.516269430633169	-0.0003718311090319068	-0.027499201955579592	-0.00045641297533442337	-0.03049058531742792
